Created - 18:57:50.156405: Large marble: 5-Star, marbles: Orange Soda, Antique Brass, Royal Red, Neon Pink, Beaver, Liver Chestnut, Almond
Created - 18:57:50.231422: Large marble: Hercules, marbles: Bistre Brown, Silver Chalice, Antique Bronze, Almond, Mimi Pink, Russian Violet, Spanish Orange
Created - 18:57:50.308183: Large marble: Spinner, marbles: La Salle Green, Duke Blue, Cotton Candy, Big Dip O’ruby, Icterine, Pale Plum, Safety Yellow
Created - 18:57:50.385034: Large marble: 5-Star, marbles: Eerie Black, Antique Brass, Lilac Luster, Almond, Light Orange, Mango Tango, Spanish Pink
Created - 18:57:50.461772: Large marble: Spinner, marbles: Antique Brass, Silver Pink, Purple, Pale Plum, Ruby, Ruby, Cobalt Blue
Created - 18:57:50.538075: Large marble: Sure Shot, marbles: Pale Goldenrod, Maximum Purple, Pale Taupe, Spanish Carmine, Lemon Lime, Terra Cotta, Blue Bell
Created - 18:57:50.614869: Large marble: Hercules, marbles: Bistre Brown, Antique Bronze, Middle Red Purple, Brown, Dark Moss Green, Orange Soda, Middle Red Purple
Created - 18:57:50.690925: Large marble: 5-Star, marbles: Maximum Blue, Green, Terra Cotta, Eerie Black, Neon Dark Green, Ruby, Spanish Pink
Created - 18:57:50.767720: Large marble: Spinner, marbles: Light Orchid, Orange Soda, Icterine, Gold, Royal Red, Lumber, Orange Peel
Created - 18:57:50.844514: Large marble: Sure Shot, marbles: Brown, Safety Yellow, Golden Yellow, Pale Taupe, Almond, Lilac Luster, Pale Taupe
Created - 18:57:50.921309: Large marble: Winner, marbles: Mimi Pink, Silver Chalice, Antique Brass, Tuscan Brown, Candy Pink, Purple, Platinum
Created - 18:57:50.998103: Large marble: 5-Star, marbles: Spanish Pink, Lemon Lime, Blue Bell, Middle Red Purple, Golden Yellow, Spanish Pink, Maximum Violet
Created - 18:57:51.074898: Large marble: Big Joe, marbles: Indigo, Dark Moss Green, Emerald, Honeydew, Duke Blue, Shandy, Mint Green
Created - 18:57:51.150403: Large marble: Spinner, marbles: Neon Pink, Pastel Gray, Safety Yellow, Fiery Rose, Eerie Black, Blue Bell, Maximum Purple
Created - 18:57:51.226215: Large marble: Zeus, marbles: Cotton Candy, Icterine, Spanish Carmine, Antique Bronze, Gold, Big Dip O’ruby, Duke Blue
Created - 18:57:51.303010: Large marble: Winner, marbles: Brink Pink, Light Orange, Lilac Luster, Zomp, Pastel Blue, Pastel Blue, Sage
Created - 18:57:51.379804: Large marble: Spinner, marbles: Dark Moss Green, Lilac Luster, La Salle Green, Blue Bell, Safety Yellow, Dark Fuchsia, Rose Quartz
Created - 18:57:51.456599: Large marble: Zeus, marbles: Spanish Carmine, Indigo, Ruby, Pale Taupe, Pale Cerulean, Silver Pink, Stop Red
Created - 18:57:51.533427: Large marble: Big Joe, marbles: Pastel Gray, Black Coral, Mango Tango, Venetian Red, Ivory, Big Dip O’ruby, Platinum
Created - 18:57:51.609704: Large marble: Apollo, marbles: Neon Pink, Sage, Beaver, Ivory, Auburn, Ivory, Middle Green
Created - 18:57:51.685501: Large marble: Lucky, marbles: Silver Chalice, Maximum Violet, Black Coral, Mint Green, Stop Red, Mode Beige, Candy Pink
Created - 18:57:51.762296: Large marble: Big Joe, marbles: Sheen Green, Spanish Pink, Lavender Blue, Russian Green, Sage, Lemon Lime, Spanish Orange
Created - 18:57:51.839148: Large marble: Zeus, marbles: Lumber, Cobalt Blue, Silver Chalice, Lumber, Middle Red Purple, Pastel Gray, Slate Blue
Created - 18:57:51.915487: Large marble: Zeus, marbles: Antique Brass, Blue, Zomp, Brink Pink, Russian Violet, Dark Fuchsia, Spanish Orange
Created - 18:57:51.992282: Large marble: Spinner, marbles: Dark Moss Green, Ivory, Lavender Blue, Light Orange, Cotton Candy, Granny Smith Apple, Lavender Blue
Created - 18:57:52.069077: Large marble: Winner, marbles: Black Coral, Pale Plum, Lemon Lime, Vegas Gold, Middle Green Yellow, Lumber, Pastel Gray
Created - 18:57:52.145438: Large marble: Sure Shot, marbles: Green, Blue-Green, Lavender Blue, Liver Chestnut, Bistre Brown, Rose Quartz, Terra Cotta
Created - 18:57:52.220402: Large marble: Zeus, marbles: Tuscan Brown, Granny Smith Apple, Mint Cream, Mint Green, Slate Blue, Tuscan Brown, Outrageous Orange
Created - 18:57:52.296049: Large marble: Hercules, marbles: Beaver, Terra Cotta, Honeydew, Pale Cerulean, Platinum, Lemon Lime, Bistre Brown
Created - 18:57:52.372844: Large marble: Big Joe, marbles: Mode Beige, Platinum, Icterine, Royal Blue, Fiery Rose, Zomp, Pale Cerulean
Created - 18:57:52.449638: Large marble: Sure Shot, marbles: Royal Red, Lilac Luster, Fiery Rose, Black Coral, Honeydew, Maximum Purple, La Salle Green
Created - 18:57:52.525832: Large marble: Zeus, marbles: Russian Green, Royal Orange, Silver Pink, Terra Cotta, Purple, Light Orchid, Silver Pink
Created - 18:57:52.602571: Large marble: Lucky, marbles: Light Orange, Spanish Orange, Outrageous Orange, Silver Chalice, Neon Silver, Antique Bronze, Pale Cerulean
Created - 18:57:52.679418: Large marble: Big Joe, marbles: Antique Brass, Ruby, Middle Red Purple, Auburn, Ivory, Rose Quartz, Chinese Red
Created - 18:57:52.756160: Large marble: 5-Star, marbles: Pale Taupe, Royal Orange, Orange Peel, Maximum Blue, Isabelline, Granny Smith Apple, Orange Peel
Created - 18:57:52.833003: Large marble: Hercules, marbles: Rose Dust, Orange Soda, Purple, Maximum Blue, Lavender Blue, Mulberry, Lavender Blue
Created - 18:57:52.909749: Large marble: Big Joe, marbles: Candy Pink, Safety Yellow, Granny Smith Apple, Ivory, Neon Pink, Honeydew, Lemon Lime
Created - 18:57:52.986545: Large marble: Apollo, marbles: Blue Bell, Orange Peel, Russian Green, Terra Cotta, Royal Orange, Neon Pink, Maximum Blue
Created - 18:57:53.063338: Large marble: Spinner, marbles: Slate Blue, Silver Pink, Tuscan Brown, Royal Orange, Middle Red Purple, Lemon Lime, Dark Moss Green
Created - 18:57:53.139718: Large marble: Winner, marbles: Green, Neon Pink, White Smoke, Royal Blue, Golden Yellow, Ivory, Shandy
Created - 18:57:53.216512: Large marble: Lucky, marbles: Lilac Luster, Lilac Luster, Lilac Luster, Neon Silver, Sheen Green, Granny Smith Apple, Pastel Blue
Created - 18:57:53.291312: Large marble: Zeus, marbles: Spanish Orange, Maximum Violet, Royal Red, Lumber, Pale Taupe, Middle Red Purple, Maximum Purple
Created - 18:57:53.368107: Large marble: Sure Shot, marbles: Duke Blue, Liver Chestnut, Pastel Blue, Fiery Rose, Spanish Pink, Lumber, Neon Dark Green
Created - 18:57:53.444901: Large marble: Hercules, marbles: Blue, Chinese Red, Granny Smith Apple, Slate Blue, Almond, Blue, Rose Dust
Created - 18:57:53.521060: Large marble: Lucky, marbles: Indigo, Mint Green, Middle Green Yellow, Sheen Green, Granny Smith Apple, Shandy, Silver Chalice
Created - 18:57:53.597855: Large marble: Sure Shot, marbles: Russian Violet, Pale Goldenrod, Ruby, Lavender Blue, Royal Orange, Pale Plum, Pale Taupe
